Timestamp,Target Class,Threat Level,Confidence (%),Bounding Box
18:45:48.462,PERSON,ORTA,58,"(4, 302, 1181, 709)"
18:45:48.462,PERSON,ORTA,50,"(0, 302, 830, 707)"
18:45:48.531,PERSON,ORTA,55,"(0, 302, 818, 707)"
18:45:48.603,PERSON,ORTA,51,"(3, 302, 1174, 711)"
18:45:48.603,PERSON,ORTA,42,"(0, 302, 825, 708)"
18:45:48.673,PERSON,ORTA,49,"(0, 307, 825, 709)"
18:45:48.736,PERSON,ORTA,56,"(0, 303, 819, 710)"
18:45:48.736,PERSON,ORTA,47,"(0, 301, 1209, 712)"
18:45:48.801,PERSON,ORTA,59,"(0, 300, 804, 710)"
18:45:48.866,PERSON,ORTA,65,"(2, 299, 1166, 715)"
18:45:48.929,PERSON,ORTA,65,"(1, 302, 809, 712)"
18:45:48.993,PERSON,ORTA,65,"(1, 300, 1181, 715)"
18:45:49.063,PERSON,ORTA,56,"(0, 304, 804, 710)"
18:45:49.063,PERSON,ORTA,50,"(4, 301, 1242, 712)"
18:45:49.131,PERSON,ORTA,47,"(0, 303, 798, 710)"
18:45:49.198,PERSON,ORTA,68,"(1, 297, 811, 712)"
18:45:49.268,PERSON,ORTA,70,"(1, 303, 837, 712)"
18:45:49.268,PERSON,ORTA,47,"(4, 301, 1239, 715)"
18:45:49.335,PERSON,ORTA,66,"(0, 303, 816, 711)"
18:45:49.407,PERSON,ORTA,63,"(0, 299, 799, 712)"
18:45:49.483,PERSON,ORTA,65,"(1, 296, 801, 709)"
18:45:49.562,PERSON,ORTA,65,"(1, 298, 816, 711)"
18:45:49.562,PERSON,ORTA,45,"(5, 295, 1246, 715)"
18:45:49.640,PERSON,ORTA,69,"(1, 301, 808, 711)"
18:45:49.715,PERSON,ORTA,78,"(0, 301, 784, 708)"
18:45:49.786,PERSON,ORTA,54,"(0, 291, 828, 711)"
18:45:49.786,PERSON,ORTA,50,"(0, 289, 1249, 716)"
18:45:49.855,PERSON,ORTA,73,"(0, 293, 804, 712)"
18:45:49.924,PERSON,ORTA,69,"(0, 299, 800, 712)"
18:45:49.995,PERSON,ORTA,67,"(140, 289, 969, 715)"
18:45:50.062,PERSON,ORTA,73,"(114, 286, 961, 714)"
18:45:50.129,PERSON,ORTA,49,"(271, 290, 947, 714)"
18:45:50.198,PERSON,ORTA,43,"(122, 295, 860, 716)"
18:45:50.265,PERSON,ORTA,57,"(131, 291, 818, 716)"
18:45:50.332,TOOTHBRUSH,ASAGI,67,"(850, 403, 1279, 711)"
18:45:50.332,PERSON,ORTA,43,"(158, 297, 819, 717)"
18:45:50.402,PERSON,ORTA,40,"(880, 409, 1278, 713)"
18:45:50.473,PERSON,ORTA,61,"(883, 379, 1278, 713)"
18:45:50.473,TOOTHBRUSH,ASAGI,51,"(883, 382, 1279, 713)"
18:45:50.547,PERSON,ORTA,80,"(123, 297, 825, 718)"
18:45:50.616,PERSON,ORTA,74,"(73, 298, 825, 717)"
18:45:50.681,PERSON,ORTA,70,"(5, 296, 823, 717)"
18:45:50.681,TOOTHBRUSH,ASAGI,42,"(796, 490, 1279, 709)"
18:45:50.744,PERSON,ORTA,79,"(250, 295, 1204, 718)"
18:45:50.809,PERSON,ORTA,83,"(249, 295, 1193, 718)"
18:45:50.878,PERSON,ORTA,72,"(367, 294, 1221, 717)"
18:45:50.949,PERSON,ORTA,66,"(93, 290, 818, 718)"
18:45:50.949,PERSON,ORTA,60,"(813, 448, 1279, 712)"
18:45:50.949,PERSON,ORTA,42,"(168, 291, 1257, 715)"
18:45:51.031,PERSON,ORTA,61,"(116, 292, 813, 717)"
18:45:51.031,PERSON,ORTA,49,"(863, 449, 1278, 708)"
